vocab	precision	recall
Tiber	0.16666666666666666	1.0
outward	0.005319148936170213	0.014492753623188406
Papa's	0.005319148936170213	1.0
mewed	0.009009009009009009	0.5
tensely	0.01098901098901099	0.5
shocked	0.008	0.045454545454545456
classical	0.009009009009009009	0.01098901098901099
sports	0.01098901098901099	0.011764705882352941
Debts	0.004329004329004329	1.0
directly	0.005319148936170213	0.02
stables	0.037037037037037035	0.25
petits	0.017241379310344827	1.0
Descent	0.02702702702702703	1.0
employment	0.016	0.02040816326530612
dawn	0.05555555555555555	0.015873015873015872
curly	0.008658008658008658	0.06666666666666667
unqualified	0.004329004329004329	0.047619047619047616
intrusions	0.005319148936170213	1.0
rise	0.008	0.006289308176100629
gradually	0.03571428571428571	0.03333333333333333
promised	0.004329004329004329	0.0625
belch	0.008	0.041666666666666664
soddenly	0.02857142857142857	0.3333333333333333
phones	0.05555555555555555	0.1111111111111111
authoritatively	0.005319148936170213	0.14285714285714285
washed	0.005319148936170213	0.16666666666666666
fer	0.05	1.0
near-strangers	0.009009009009009009	1.0
management	0.08333333333333333	0.010101010101010102
spill	0.14285714285714285	0.022222222222222223
write	0.008658008658008658	0.009900990099009901
shouts	0.004329004329004329	0.5
dependable	0.008	0.06666666666666667
Presidential	0.008	1.0
Brooklyn	0.008	1.0
manifested	0.009009009009009009	0.14285714285714285
copies	0.047619047619047616	0.0625
journeys	0.009009009009009009	0.3333333333333333
seat	0.02197802197802198	0.00980392156862745
piss	0.005319148936170213	0.06666666666666667
ads	0.004329004329004329	0.2
signed	0.004329004329004329	0.0625
Seward's	0.25	1.0
disbelief	0.034482758620689655	0.02857142857142857
meadows	0.004329004329004329	0.25
In	0.008	1.0
age	0.023255813953488372	0.0035971223021582736
discrete	0.004329004329004329	0.015384615384615385
explanation	0.008	0.013888888888888888
logic	0.008	0.009345794392523364
patterns	0.008	0.1111111111111111
Fifth	0.017241379310344827	1.0
staring	0.015625	0.1111111111111111
humor	0.005319148936170213	0.030303030303030304
immensely	0.005319148936170213	0.125
banners	0.008	0.3333333333333333
grenade	0.009009009009009009	0.058823529411764705
manners	0.07142857142857142	0.012987012987012988
discussed	0.3333333333333333	0.2
crushers	0.008	0.5
frees	0.009009009009009009	0.5
woods	0.005319148936170213	0.03225806451612903
rugged	0.008	0.021739130434782608
primeval	0.004329004329004329	0.07692307692307693
peninsula	0.25	0.015384615384615385
bottle	0.0625	0.006756756756756757
unconcerned	0.047619047619047616	0.047619047619047616
pigeons	0.004329004329004329	0.3333333333333333
geneticist	0.058823529411764705	0.043478260869565216
hopes	0.008	0.5
misfired	0.012987012987012988	1.0
polishes	0.05555555555555555	0.5
job	0.018018018018018018	0.009478672985781991
resurrected	0.009009009009009009	0.5
bleakly	0.004329004329004329	0.3333333333333333
handwriting	0.008658008658008658	0.0425531914893617
rebutted	0.016666666666666666	0.3333333333333333
summary	0.1	0.016666666666666666
well-bound	0.004329004329004329	1.0
merited	0.005319148936170213	0.2
bachelor	0.009009009009009009	0.022222222222222223
severed	0.004329004329004329	0.1111111111111111
test	0.02564102564102564	0.0034482758620689655
nights	0.25	0.25
briefly	0.027777777777777776	0.0625
beans	0.016666666666666666	0.06666666666666667
soldiers	0.047619047619047616	0.043478260869565216
tempt	0.03333333333333333	0.03333333333333333
whether	0.07142857142857142	0.047619047619047616
wobbly	0.004329004329004329	0.058823529411764705
Were	0.05263157894736842	1.0
varieties	0.008	0.08333333333333333
landlord	0.023255813953488372	0.025
twotiming	0.004329004329004329	1.0
manumission	0.045454545454545456	0.08333333333333333
spurring	0.05263157894736842	0.3333333333333333
beset	0.009009009009009009	0.037037037037037035
married	0.005319148936170213	0.014084507042253521
hell	0.017241379310344827	0.0125
suit	0.015625	0.005988023952095809
Opera	0.041666666666666664	1.0
entertainment	0.025	0.008333333333333333
roaming	0.04	0.125
beneath	0.04	0.015625
uncle's	0.008	1.0
favor	0.06666666666666667	0.02127659574468085
bedrooms	0.005319148936170213	0.125
sends	0.005319148936170213	0.5
understanding	0.023809523809523808	0.00819672131147541
fences	0.013888888888888888	0.1111111111111111
hysteria	0.005319148936170213	0.02702702702702703
actors	0.009009009009009009	0.06666666666666667
crucial	0.009009009009009009	0.043478260869565216
abandoned	0.02702702702702703	0.03225806451612903
porch	0.024390243902439025	0.017857142857142856
insularity	0.005319148936170213	0.25
pari-mutuel	0.027777777777777776	1.0
Lincoln	0.021739130434782608	1.0
Already	0.008	1.0
draper	0.016666666666666666	0.07692307692307693
With	0.004329004329004329	1.0
window	0.012987012987012988	0.011627906976744186
nude	0.015384615384615385	0.034482758620689655
life-size	0.02702702702702703	1.0
engendered	0.02631578947368421	0.3333333333333333
mystery	1.0	0.015873015873015872
impatiently	0.004329004329004329	0.3333333333333333
taught	0.004329004329004329	0.1
friend's	0.004329004329004329	1.0
old-fashioned	0.027777777777777776	1.0
you	0.01098901098901099	0.007194244604316547
loyalty	0.125	0.025
conspiracy	0.017241379310344827	0.03125
no-nonsense	0.125	1.0
schoolhouse	0.004329004329004329	0.14285714285714285
glad	0.024390243902439025	0.018867924528301886
managed	0.2	0.25
bowed	0.041666666666666664	0.1111111111111111
trustfully	0.008	0.5
wasting	0.004329004329004329	0.07142857142857142
knuckle	0.017241379310344827	0.02
drizzle	0.5	0.027777777777777776
mercy	0.14285714285714285	0.02040816326530612
These	0.004329004329004329	1.0
merchants	0.008658008658008658	0.2857142857142857
Plymouth	0.038461538461538464	1.0
sockdologizing	0.02857142857142857	1.0
Alix's	0.005319148936170213	1.0
Fiddles	0.004329004329004329	1.0
official	0.013888888888888888	0.004608294930875576
knocked	0.037037037037037035	0.25
Drury	0.004329004329004329	1.0
dismay	0.016666666666666666	0.024390243902439025
thoroughly	0.008	0.029411764705882353
rocking	0.023809523809523808	0.07142857142857142
stepped	0.02702702702702703	0.125
He	0.3333333333333333	1.0
muzzle	0.022727272727272728	0.014285714285714285
others	0.004329004329004329	0.023809523809523808
troubling	0.016666666666666666	0.16666666666666666
finding	0.01098901098901099	0.022727272727272728
men-of-war	0.004329004329004329	1.0
nightfall	0.04	0.0625
topic	0.030303030303030304	0.011235955056179775
love	0.03333333333333333	0.0035842293906810036
banter	0.005319148936170213	0.02702702702702703
kitchenette	0.017241379310344827	0.25
muted	0.07142857142857142	0.2
jingled	0.03333333333333333	0.5
Yet	0.05555555555555555	1.0
beams	0.013888888888888888	0.14285714285714285
collapsed	0.019230769230769232	0.16666666666666666
Again	0.02702702702702703	1.0
Seeing	0.037037037037037035	1.0
formidable	0.08333333333333333	0.04
status	0.018018018018018018	0.013071895424836602
allies	0.005319148936170213	0.09090909090909091
implored	0.038461538461538464	0.5
Shop	0.004329004329004329	1.0
saw	0.04	0.01020408163265306
grace	0.125	0.01020408163265306
highly	0.005319148936170213	0.03125
Am	0.009009009009009009	1.0
Heretic	0.01098901098901099	1.0
crawl	0.25	0.015151515151515152
thickening	0.008	0.037037037037037035
blindness	0.008	0.02857142857142857
searchlights	0.008	0.5
wave	0.05714285714285714	0.005698005698005698
Bud	0.05263157894736842	1.0
Jake	0.01098901098901099	1.0
overlook	0.5	0.029411764705882353
high	0.02702702702702703	0.00980392156862745
Tomorrow	0.01098901098901099	1.0
Herold	0.024390243902439025	1.0
There'd	0.022222222222222223	1.0
bandit	0.03333333333333333	0.023255813953488372
Ecole	0.004329004329004329	1.0
functions	0.012987012987012988	0.08333333333333333
loins	0.012987012987012988	0.06666666666666667
fear	0.05172413793103448	0.006944444444444444
troubled	0.022727272727272728	0.03333333333333333
architect	0.5	0.03225806451612903
brain	0.008658008658008658	0.003816793893129771
eyebrows	0.008	0.125
hundreds	0.015625	0.25
apparent	0.004329004329004329	0.018867924528301886
cottage	0.010638297872340425	0.038461538461538464
jolt	0.015625	0.021739130434782608
saddle	0.005319148936170213	0.008771929824561403
whirring	0.004329004329004329	0.3333333333333333
Waters	0.02040816326530612	1.0
traps	0.16666666666666666	0.25
diagrams	0.004329004329004329	0.3333333333333333
pile	0.5	0.010309278350515464
hayfields	0.023255813953488372	1.0
bankrupt	0.030303030303030304	0.037037037037037035
hoo-pig	0.02564102564102564	1.0
flourish	0.004329004329004329	0.016129032258064516
shoot	0.046511627906976744	0.011049723756906077
Get	0.005319148936170213	1.0
biology	0.5	0.011363636363636364
colleagues	0.012987012987012988	0.5
Warsaw's	0.004329004329004329	1.0
sweaty	0.005319148936170213	0.07142857142857142
teeth	0.16666666666666666	0.005681818181818182
attic	0.005319148936170213	0.025
Two	0.023809523809523808	1.0
patted	0.004329004329004329	0.5
forbid	0.008	0.02702702702702703
chisels	0.004329004329004329	0.5
town	0.017316017316017316	0.009732360097323601
unexpectedly	0.005319148936170213	0.0625
supercritical	0.005319148936170213	0.14285714285714285
winds	0.013888888888888888	0.125
maneuvering	0.5	0.16666666666666666
stockings	0.015625	0.058823529411764705
