vocab	precision	recall
scapulars	0.0	0.0
regaled	0.0	0.0
high-pitched	0.001	0.5
tollhouse	0.0	0.0
little	0.002	0.14285714285714285
impression	0.001	0.08333333333333333
rested	0.001	0.07692307692307693
celebrated	0.001	0.0625
dresses	0.003	0.07894736842105263
Amen	0.0	0.0
patient	0.0	0.0
grip	0.001	0.047619047619047616
clucks	0.001	0.25
bury	0.0	0.0
mistress	0.0	0.0
Automatic	0.0	0.0
healthiest	0.001	0.07142857142857142
monosyllables	0.0	0.0
Overreach	0.0	0.0
certificate	0.0	0.0
precise	0.0	0.0
preceding	0.0	0.0
whistled	0.0	0.0
count	0.001	0.058823529411764705
lusty	0.0	0.0
forerunner	0.0	0.0
stockings	0.001	0.14285714285714285
unhesitatingly	0.0	0.0
animated	0.0	0.0
pride	0.0	0.0
premonitions	0.001	0.2
misgivings	0.0	0.0
screeching	0.0	0.0
rehearsals	0.0	0.0
mistook	0.0	0.0
sin	0.001	0.07692307692307693
bustle	0.0	0.0
So	0.0	0.0
admired	0.0	0.0
countenance	0.001	0.06666666666666667
nose	0.0	0.0
perseveres	0.0	0.0
carefully	0.0	0.0
translucence	0.0	0.0
humming	0.0	0.0
tea	0.0	0.0
unleashed	0.0	0.0
gay	0.0	0.0
content	0.002	0.18181818181818182
cartwheels	0.0	0.0
sighing	0.0	0.0
patriot	0.0	0.0
reception	0.0	0.0
underlined	0.0	0.0
chiefly	0.0	0.0
crafter	0.0	0.0
sized	0.0	0.0
bluff	0.001	0.2
has	0.005	0.1724137931034483
dough	0.0	0.0
talking	0.003	0.16666666666666666
concentrated	0.0	0.0
Booby	0.0	0.0
powder	0.0	0.0
camera	0.0	0.0
depressors	0.0	0.0
bargain	0.0	0.0
tidings	0.002	0.3333333333333333
curiosity	0.0	0.0
prosperous	0.002	0.10526315789473684
fiend	0.0	0.0
strict	0.0	0.0
wheezed	0.0	0.0
gazed	0.0	0.0
engendered	0.0	0.0
wheels	0.0	0.0
kinds	0.001	0.25
squawk	0.0	0.0
sword	0.0	0.0
Scrub	0.0	0.0
embarrassing	0.0	0.0
assurance	0.0	0.0
bullshit	0.0	0.0
boy	0.001	0.3333333333333333
anvil	0.0	0.0
drizzle	0.0	0.0
complained	0.0	0.0
branches	0.0	0.0
assumed	0.001	0.037037037037037035
ports	0.001	0.16666666666666666
island	0.0	0.0
colonies	0.0	0.0
debate	0.0	0.0
outpost	0.0	0.0
locker-room	0.0	0.0
worn	0.002	0.06666666666666667
scraped	0.0	0.0
mining	0.0	0.0
biblical	0.0	0.0
pajamas	0.0	0.0
schoolhouse	0.001	0.5
intensity	0.0	0.0
blocks	0.001	0.022727272727272728
crescendo	0.0	0.0
charming	0.0	0.0
strike	0.003	0.08108108108108109
relentlessly	0.0	0.0
snorted	0.0	0.0
tenth	0.0	0.0
impressed	0.002	0.18181818181818182
