vocab	precision	recall
clip	1.0	0.05
drapery	0.00011938872970391595	0.2
dragging	0.0005969436485195798	0.23809523809523808
penalty	0.0002387774594078319	0.5
camaraderie	0.00011938872970391595	0.2
seizure	0.00011938872970391595	0.2
Ejaculated	0.00011938872970391595	0.16666666666666666
lunged	0.0002387774594078319	0.4
exalted	0.0004775549188156638	0.16
groggy	0.00011938872970391595	0.2
subjects	0.0009551098376313276	0.4
booming	0.0008357211079274117	0.3888888888888889
twenty-five	0.00011938872970391595	0.25
clam	0.0002387774594078319	0.4
drafty	0.0002387774594078319	1.0
infectious	0.00011938872970391595	0.5
Call	0.0015520534861509074	0.35135135135135137
Rameau	0.00011938872970391595	0.5
sterns	0.0011938872970391596	0.29411764705882354
everywhere	0.00011938872970391595	0.3333333333333333
bashful	0.00011938872970391595	0.5
Colors	0.00035816618911174784	0.1111111111111111
reason	0.0007163323782234957	0.5454545454545454
Bottom	0.0013132760267430754	0.28205128205128205
mothers	0.0005969436485195798	0.4166666666666667
gaze	0.00035816618911174784	1.0
spoon	0.00011938872970391595	0.3333333333333333
tying	0.0004775549188156638	0.3076923076923077
Altogether	0.0009551098376313276	0.5333333333333333
strongly	0.00011938872970391595	0.5
remember	0.0002387774594078319	0.18181818181818182
opera	0.00011938872970391595	0.3333333333333333
inlets	0.00011938872970391595	0.25
window	0.00011938872970391595	0.5
freezing	0.00035816618911174784	0.3333333333333333
slight	0.0005969436485195798	0.45454545454545453
impatient	1.0	0.5
moment	0.0005969436485195798	0.5
barbed	0.0002387774594078319	0.1111111111111111
bricklayers	0.00011938872970391595	0.5
track	0.0015520534861509074	0.3939393939393939
proposal	0.0002387774594078319	0.4
Huge	0.00035816618911174784	0.6
piece	0.0010744985673352436	0.391304347826087
rules	0.0009551098376313276	0.38095238095238093
palace	0.00011938872970391595	0.5
kinder	0.0002387774594078319	0.5
brush	0.0002387774594078319	0.18181818181818182
boil	0.00011938872970391595	0.14285714285714285
liberally	0.00011938872970391595	0.3333333333333333
peeled	0.0005969436485195798	0.22727272727272727
cousin	0.00011938872970391595	0.25
copy	0.0002387774594078319	0.2857142857142857
rot	0.0004775549188156638	0.3076923076923077
chorus	0.00011938872970391595	0.2
come	0.0010744985673352436	0.36
whole	0.0008357211079274117	0.5
Harlem	0.00011938872970391595	1.0
classics	0.0002387774594078319	1.0
respond	0.00035816618911174784	0.75
nuances	0.0002387774594078319	0.3333333333333333
leap	0.00035816618911174784	0.375
ivy	0.00011938872970391595	0.25
mustache	0.00011938872970391595	0.5
article	0.00011938872970391595	0.5
tied	0.0007163323782234957	0.35294117647058826
landowners	0.00011938872970391595	0.25
jeopardy	0.0002387774594078319	0.4
siding	0.0002387774594078319	0.4
log	0.0002387774594078319	0.6666666666666666
Enjoy	0.0004775549188156638	0.4444444444444444
hopes	0.00035816618911174784	0.25
Shorter	0.0007163323782234957	0.4
sorting	0.00035816618911174784	0.23076923076923078
engendered	0.0005969436485195798	0.45454545454545453
grabbed	1.0	0.14285714285714285
determine	0.0013132760267430754	0.5
costume	0.00011938872970391595	0.5
needled	0.00011938872970391595	0.3333333333333333
fifth	0.00011938872970391595	0.2
body	0.00035816618911174784	0.2727272727272727
serenaded	1.0	0.5
institution	0.00035816618911174784	0.1875
Thirty-three	0.0002387774594078319	0.5
model	0.0007163323782234957	0.24
dissolve	1.0	0.08333333333333333
lawns	0.0002387774594078319	1.0
angrily	0.00011938872970391595	1.0
cape	0.00011938872970391595	0.3333333333333333
Service	0.0004775549188156638	0.25
cleared	0.0005969436485195798	0.12195121951219512
connection	0.00035816618911174784	0.3333333333333333
hallowed	0.0002387774594078319	0.3333333333333333
changes	0.0008357211079274117	0.4375
