vocab	precision	recall
wrinkled	0.16666666666666666	0.07142857142857142
pleasant	0.08333333333333333	1.0
slit	0.14285714285714285	0.09090909090909091
linoleum	0.09090909090909091	0.5
snail	0.07142857142857142	0.5
relieved	0.08333333333333333	0.037037037037037035
misinterpreted	0.0	0.0
model	0.18181818181818182	0.08
corpse	0.125	0.2
gardening	0.1	0.3333333333333333
primitive	0.07692307692307693	0.16666666666666666
huddled	0.05263157894736842	0.25
joyous	0.1111111111111111	1.0
invariably	0.125	0.3333333333333333
serves	0.0	0.0
asking	0.0625	0.07142857142857142
prevail	0.2857142857142857	0.16666666666666666
brownish	0.06666666666666667	0.25
shadows	0.15384615384615385	0.11764705882352941
firm	0.047619047619047616	0.047619047619047616
alternately	0.07692307692307693	1.0
brick	0.05555555555555555	1.0
abuses	0.0	0.0
aboard	0.08333333333333333	0.25
sell	0.09090909090909091	0.25
sigh	0.25	0.3333333333333333
loveliness	0.3333333333333333	0.25
perch	0.1111111111111111	0.14285714285714285
lovely	0.0625	0.2
echo	0.14285714285714285	0.1
singular	0.08333333333333333	0.09090909090909091
visitor	0.058823529411764705	0.5
troops	0.09090909090909091	0.1111111111111111
plainly	0.05263157894736842	0.125
grinning	0.047619047619047616	0.25
kindly	0.125	0.14285714285714285
port	0.09090909090909091	0.16666666666666666
grounds	0.08333333333333333	0.034482758620689655
inmates	0.0	0.0
rags	0.0	0.0
activity	0.07142857142857142	0.125
shyly	0.047619047619047616	0.3333333333333333
separation	0.1111111111111111	0.2
pointing	0.0	0.0
chocolate	0.05263157894736842	0.125
sheltered	0.1111111111111111	0.5
slapped	0.0	0.0
sitting	0.1	0.07142857142857142
lemons	0.0	0.0
foliage	0.08333333333333333	0.25
sovereign	0.125	0.14285714285714285
rugs	0.0	0.0
uncle	0.0625	1.0
bitters	0.25	0.3333333333333333
confusion	0.06666666666666667	0.14285714285714285
smoothed	0.045454545454545456	0.14285714285714285
signpost	0.08333333333333333	0.5
almost	0.07142857142857142	0.125
bearded	0.14285714285714285	0.16666666666666666
outer	0.07142857142857142	0.07692307692307693
crazed	0.125	0.2
chewed	0.0	0.0
moisture	0.125	0.5
stumbled	0.0	0.0
gathering	0.07142857142857142	0.05
cheeks	0.07142857142857142	0.125
nothings	0.2	0.06666666666666667
imported	0.14285714285714285	0.3333333333333333
longing	0.16666666666666666	0.3333333333333333
aloud	0.16666666666666666	0.25
have	0.07142857142857142	0.034482758620689655
deference	0.038461538461538464	0.14285714285714285
irritated	0.08333333333333333	0.041666666666666664
beach	0.09090909090909091	1.0
wakes	0.0	0.0
ashen	0.06666666666666667	0.2
intellectual	0.07142857142857142	0.2
blackened	0.06666666666666667	0.1111111111111111
personal	0.06666666666666667	1.0
revellers	0.0	0.0
responsible	0.125	0.3333333333333333
ears	0.03571428571428571	0.2
clips	0.0	0.0
respect	0.07692307692307693	0.07692307692307693
boundary	0.16666666666666666	0.2
stuck	0.1111111111111111	0.029411764705882353
ominous	0.08333333333333333	0.1
hawk	0.125	0.1111111111111111
horse	0.125	0.1111111111111111
myrrh	0.1111111111111111	0.3333333333333333
defiance	0.14285714285714285	0.5
yellowing	0.0	0.0
special	0.05555555555555555	0.14285714285714285
lamb	0.047619047619047616	0.2
sins	0.0	0.0
mean	0.046511627906976744	0.10526315789473684
became	0.0	0.0
colony	0.08333333333333333	0.25
sprawling	0.08333333333333333	0.16666666666666666
absolutely	0.1111111111111111	0.25
goose	0.1	0.1111111111111111
abandoned	0.09090909090909091	0.1
curled	0.2	0.1
necessary	0.09090909090909091	0.2
shouts	0.0	0.0
mumbled	0.0	0.0
patronage	0.125	0.07692307692307693
before	0.034482758620689655	0.25
possession	0.5	0.1111111111111111
heaped	0.0	0.0
stirred	0.07142857142857142	0.038461538461538464
westerly	0.14285714285714285	0.2
habits	0.0	0.0
largely	0.05	0.3333333333333333
title	0.1111111111111111	0.09090909090909091
complete	0.07142857142857142	0.037037037037037035
go	0.07692307692307693	0.027777777777777776
sits	0.0	0.0
self-indulgence	0.07692307692307693	0.25
threading	0.0	0.0
squires	0.0	0.0
clothes	0.05263157894736842	0.058823529411764705
wall	0.09090909090909091	0.125
settled	0.14285714285714285	0.03333333333333333
attended	0.14285714285714285	0.0625
accelerator	1.0	0.1
innocent	0.1111111111111111	0.07692307692307693
stamping	0.0	0.0
reservation	0.3333333333333333	0.16666666666666666
war	0.1	0.3333333333333333
imaginary	0.14285714285714285	0.16666666666666666
apprehension	0.06666666666666667	0.08333333333333333
sinner	0.3333333333333333	0.5
success	0.125	0.25
delicacy	0.07142857142857142	0.07142857142857142
trusted	0.16666666666666666	0.07692307692307693
bathrobe	0.25	1.0
gunpowder	0.16666666666666666	0.5
patterns	0.0	0.0
crafter	0.07692307692307693	0.5
tax	0.1	0.2
contacts	0.0	0.0
choke	0.09090909090909091	0.029411764705882353
planting	0.1	0.09090909090909091
cold	0.1111111111111111	0.07692307692307693
lacked	0.0	0.0
espionage	0.2	1.0
tips	0.058823529411764705	0.03333333333333333
persons	0.0	0.0
driven	0.1111111111111111	0.045454545454545456
memories	0.0	0.0
backward	0.16666666666666666	0.125
infuriated	0.043478260869565216	0.125
lightweight	0.058823529411764705	0.3333333333333333
telling	0.0625	0.03333333333333333
brandy	0.14285714285714285	1.0
scouting	0.2	0.14285714285714285
farmer	0.07692307692307693	0.125
spectacle	0.16666666666666666	1.0
perfectly	0.10526315789473684	0.5
hacked	0.0	0.0
serge	0.25	1.0
interests	0.0	0.0
brotherhood	0.058823529411764705	0.14285714285714285
favor	0.16666666666666666	0.16666666666666666
bullshit	0.16666666666666666	0.1111111111111111
wearing	0.10526315789473684	0.06060606060606061
emit	0.1	0.125
sexual	0.06666666666666667	0.5
image	0.2	0.041666666666666664
admiring	0.0	0.0
excess	0.1	0.06666666666666667
traps	0.0	0.0
warming	0.2222222222222222	0.2857142857142857
betrays	0.0	0.0
stare	0.3333333333333333	0.5
train	0.25	0.037037037037037035
genuine	0.09090909090909091	0.14285714285714285
kinds	0.0	0.0
slums	0.0	0.0
rich	0.034482758620689655	0.07692307692307693
dreaming	0.3333333333333333	0.2
loosen	0.16666666666666666	0.14285714285714285
average	0.09090909090909091	0.08333333333333333
trip	0.5	0.047619047619047616
stress	0.3333333333333333	0.16666666666666666
property	0.07692307692307693	0.14285714285714285
distant	0.09090909090909091	0.2
account	0.25	0.058823529411764705
dare	0.5	0.2
barricades	0.0	0.0
melting	0.16666666666666666	0.058823529411764705
caps	0.0	0.0
sweating	0.06666666666666667	0.125
beneath	0.16666666666666666	0.25
responded	0.0	0.0
noting	0.0	0.0
unclean	0.037037037037037035	0.25
attentively	1.0	1.0
