vocab	precision	recall
problem	1.0	1.0
half	0.0001193744777366599	1.0
nowhere	0.0001193744777366599	1.0
mining	0.0001193744777366599	1.0
Lorelei	0.0001193744777366599	1.0
assuming	0.0001193744777366599	1.0
po'k	0.0001193744777366599	1.0
rehearsals	0.0001193744777366599	1.0
proportion	0.0001193744777366599	1.0
amorist	0.0001193744777366599	1.0
totally	0.0001193744777366599	1.0
monosyllables	0.0001193744777366599	1.0
dignity	0.0001193744777366599	1.0
appointments	0.0001193744777366599	1.0
ridge	0.0001193744777366599	1.0
embarrassed	0.0001193744777366599	1.0
feathered	0.0001193744777366599	1.0
remain	0.0001193744777366599	1.0
chancel	0.0001193744777366599	1.0
Zion	0.0001193744777366599	1.0
Huge	0.0001193744777366599	1.0
comforting	0.0001193744777366599	1.0
curious	0.0001193744777366599	1.0
cloth	0.0001193744777366599	1.0
Behind	0.0001193744777366599	1.0
nightmares	0.0001193744777366599	1.0
thumping	0.0001193744777366599	1.0
Krakow	0.0001193744777366599	1.0
cling	0.0001193744777366599	1.0
celebration	1.0	1.0
entirely	0.0001193744777366599	1.0
Stick	0.0001193744777366599	1.0
obeys	0.0001193744777366599	1.0
binding	0.0001193744777366599	1.0
ringing	0.0001193744777366599	1.0
overpriced	0.0001193744777366599	1.0
heavily	0.0001193744777366599	1.0
dining	0.0001193744777366599	1.0
doctors	0.0001193744777366599	1.0
jam	0.0001193744777366599	1.0
demands	0.0001193744777366599	1.0
misty	0.0001193744777366599	1.0
conflict	1.0	1.0
manage	0.0001193744777366599	1.0
Should	0.0001193744777366599	1.0
join	0.0001193744777366599	1.0
facts	0.0001193744777366599	1.0
charged	0.0001193744777366599	1.0
vibrated	0.0001193744777366599	1.0
Fowler	0.0001193744777366599	1.0
clumps	0.0001193744777366599	1.0
undo	0.0001193744777366599	1.0
going	0.0001193744777366599	1.0
valuable	0.0001193744777366599	1.0
promising	0.0001193744777366599	1.0
distance	0.0001193744777366599	1.0
contact	0.0001193744777366599	1.0
smiled	0.0001193744777366599	1.0
ash	0.0001193744777366599	1.0
anxious	0.0001193744777366599	1.0
approve	0.0001193744777366599	1.0
terrible	0.0001193744777366599	1.0
June	0.0001193744777366599	1.0
adventures	0.0001193744777366599	1.0
principle	0.0001193744777366599	1.0
landlord	0.0001193744777366599	1.0
exalted	0.0001193744777366599	1.0
redheader	0.0001193744777366599	1.0
circumstances	0.0001193744777366599	1.0
who's	0.0001193744777366599	1.0
nicotine-choked	0.0001193744777366599	1.0
well-fed	0.0001193744777366599	1.0
barns	0.0001193744777366599	1.0
truly	0.0001193744777366599	1.0
shock	0.0001193744777366599	1.0
croaking	0.0001193744777366599	1.0
aisle	0.0001193744777366599	1.0
Royal	0.0001193744777366599	1.0
Anyhow	0.0001193744777366599	1.0
bounded	0.0001193744777366599	1.0
adding	0.0001193744777366599	1.0
poor	0.0001193744777366599	1.0
splinter	0.0001193744777366599	1.0
shall	1.0	1.0
lazy	0.0001193744777366599	1.0
sanity	0.0001193744777366599	1.0
flying	0.0001193744777366599	1.0
hypocrite	0.0001193744777366599	1.0
tapered	0.0001193744777366599	1.0
fringe	0.0001193744777366599	1.0
flick	1.0	1.0
fucken	0.0001193744777366599	1.0
Then	0.0001193744777366599	1.0
tribute	0.0001193744777366599	1.0
lobster-backed	0.0001193744777366599	1.0
insides	1.0	1.0
showing	0.0001193744777366599	1.0
lemons	0.0001193744777366599	1.0
limp	0.0001193744777366599	1.0
oh	0.0001193744777366599	1.0
mending	0.0001193744777366599	1.0
anybody	0.0001193744777366599	1.0
unwarranted	0.0001193744777366599	1.0
exchange	0.0001193744777366599	1.0
Too	0.0001193744777366599	1.0
crazed	0.0001193744777366599	1.0
raising	0.0001193744777366599	1.0
merited	0.0001193744777366599	1.0
when	0.0001193744777366599	1.0
criss-crossed	0.0001193744777366599	1.0
triangular	0.0001193744777366599	1.0
whooping	0.0001193744777366599	1.0
footstep	0.0001193744777366599	1.0
checked	0.0001193744777366599	1.0
climbed	0.0001193744777366599	1.0
camp	0.0001193744777366599	1.0
reward	0.0001193744777366599	1.0
Ukrainian	0.0001193744777366599	1.0
gentry	0.0001193744777366599	1.0
interrupted	0.0001193744777366599	1.0
Ecole	0.0001193744777366599	1.0
blowing	0.0001193744777366599	1.0
Scriptures	0.0001193744777366599	1.0
woeful	0.0001193744777366599	1.0
ponderous	0.0001193744777366599	1.0
greetings	0.0001193744777366599	1.0
frequent	0.0001193744777366599	1.0
rattled	0.0001193744777366599	1.0
bounced	0.0001193744777366599	1.0
boaters	0.0001193744777366599	1.0
barbed	0.0001193744777366599	1.0
life-size	0.0001193744777366599	1.0
grasped	0.0001193744777366599	1.0
Bonaparte	0.0001193744777366599	1.0
tract	0.0001193744777366599	1.0
apple	0.0001193744777366599	1.0
upkeep	0.0001193744777366599	1.0
Washington	0.0001193744777366599	1.0
book	0.0001193744777366599	1.0
Robert	0.0001193744777366599	1.0
Albrights'	0.0001193744777366599	1.0
study	1.0	1.0
Afterwards	0.0001193744777366599	1.0
developed	0.0001193744777366599	1.0
clips	0.0001193744777366599	1.0
rediscover	0.0001193744777366599	1.0
ladies	0.0001193744777366599	1.0
cleaning	0.0001193744777366599	1.0
unwanted	0.0001193744777366599	1.0
assailed	0.0001193744777366599	1.0
overheat	0.0001193744777366599	1.0
rehearse	0.0001193744777366599	1.0
fortunate	0.0001193744777366599	1.0
Far	0.0001193744777366599	1.0
smirk	0.0001193744777366599	1.0
indefatigable	0.0001193744777366599	1.0
but	1.0	1.0
allowed	0.0001193744777366599	1.0
boldness	0.0001193744777366599	1.0
Jacopo	0.0001193744777366599	1.0
hens'	0.0001193744777366599	1.0
high	0.0001193744777366599	1.0
repose	0.0001193744777366599	1.0
young	0.0001193744777366599	1.0
international	0.0001193744777366599	1.0
arrest	0.0001193744777366599	1.0
impassable	0.0001193744777366599	1.0
flock	0.0001193744777366599	1.0
Kate's	0.0001193744777366599	1.0
retired	0.0001193744777366599	1.0
danced	0.0001193744777366599	1.0
intellectual	0.0001193744777366599	1.0
nerves	0.0001193744777366599	1.0
circled	0.0001193744777366599	1.0
about	0.0001193744777366599	1.0
Majdanek	0.0001193744777366599	1.0
sophisticated	0.0001193744777366599	1.0
brass-bound	0.0001193744777366599	1.0
Blevins'	0.0001193744777366599	1.0
pays	0.0001193744777366599	1.0
partisan	0.0001193744777366599	1.0
jiving	0.0001193744777366599	1.0
seen	0.0001193744777366599	1.0
field	0.0001193744777366599	1.0
punished	1.0	1.0
wicker	0.0001193744777366599	1.0
Michelangelo	0.0001193744777366599	1.0
sentiment	0.0001193744777366599	1.0
content	0.0001193744777366599	1.0
50	0.0001193744777366599	1.0
perturbation	0.0001193744777366599	1.0
Majesty's	1.0	1.0
situated	0.0001193744777366599	1.0
banner	0.0001193744777366599	1.0
woolen	0.0001193744777366599	1.0
scuff	0.0001193744777366599	1.0
ended	0.0001193744777366599	1.0
brownish	0.0001193744777366599	1.0
barrier	0.0001193744777366599	1.0
Andrei's	0.0001193744777366599	1.0
obscure	0.0001193744777366599	1.0
Grimm	0.0001193744777366599	1.0
Devil	1.0	1.0
shocks	0.0001193744777366599	1.0
generosity	0.0001193744777366599	1.0
frail	0.0001193744777366599	1.0
respect	0.0001193744777366599	1.0
Undoubtedly	0.0001193744777366599	1.0
waffles	0.0001193744777366599	1.0
Waldensian	0.0001193744777366599	1.0
senses	0.0001193744777366599	1.0
depths	1.0	1.0
shouting	0.0001193744777366599	1.0
Confession	0.0001193744777366599	1.0
The	0.0001193744777366599	1.0
yawning	0.0001193744777366599	1.0
logic	0.0001193744777366599	1.0
Texas	0.0001193744777366599	1.0
showerhead	0.0001193744777366599	1.0
Talk	0.0001193744777366599	1.0
vice	0.0001193744777366599	1.0
impaled	1.0	1.0
Pedersen's	0.0001193744777366599	1.0
entrance	0.0001193744777366599	1.0
including	0.0001193744777366599	1.0
tolerated	1.0	1.0
chests	0.0001193744777366599	1.0
decade	0.0001193744777366599	1.0
speech	0.0001193744777366599	1.0
uneasily	0.0001193744777366599	1.0
picket	0.0001193744777366599	1.0
Howe	0.0001193744777366599	1.0
Alexander	0.0001193744777366599	1.0
choking	0.0001193744777366599	1.0
shoestrings	0.0001193744777366599	1.0
restlessly	1.0	1.0
soaked	0.0001193744777366599	1.0
auditorium	0.0001193744777366599	1.0
milling	0.0001193744777366599	1.0
slashed	0.0001193744777366599	1.0
clogged	0.0001193744777366599	1.0
loyal	0.0001193744777366599	1.0
?	0.0001193744777366599	1.0
drawn	0.0001193744777366599	1.0
accidental	1.0	1.0
break	0.0001193744777366599	1.0
using	0.0001193744777366599	1.0
directions	0.0001193744777366599	1.0
o'clock	0.0001193744777366599	1.0
fundamentals	0.0001193744777366599	1.0
reread	0.0001193744777366599	1.0
achievement	0.0001193744777366599	1.0
inlets	1.0	1.0
crowded	0.0001193744777366599	1.0
tout	0.0001193744777366599	1.0
plied	0.0001193744777366599	1.0
takin	0.0001193744777366599	1.0
receive	0.0001193744777366599	1.0
invalid	0.0001193744777366599	1.0
weirs	0.0001193744777366599	1.0
quietness	0.0001193744777366599	1.0
hugging	0.0001193744777366599	1.0
Scared	0.0001193744777366599	1.0
waked	0.0001193744777366599	1.0
Vouillemont	0.0001193744777366599	1.0
Stand	0.0001193744777366599	1.0
flowers	0.0001193744777366599	1.0
blinds	0.0001193744777366599	1.0
Magdalene	0.0001193744777366599	1.0
crossed	0.0001193744777366599	1.0
Mary	0.0001193744777366599	1.0
messhall	0.0001193744777366599	1.0
fifteen	0.0001193744777366599	1.0
formidable	0.0001193744777366599	1.0
have	0.0001193744777366599	1.0
armful	0.0001193744777366599	1.0
guiding	0.0001193744777366599	1.0
ragged	0.0001193744777366599	1.0
New	0.0001193744777366599	1.0
groin	0.0001193744777366599	1.0
table	1.0	1.0
qualifications	0.0001193744777366599	1.0
hours	0.0001193744777366599	1.0
favorite	0.0001193744777366599	1.0
drawings	0.0001193744777366599	1.0
fowl	0.0001193744777366599	1.0
dozen	0.0001193744777366599	1.0
sky	0.0001193744777366599	1.0
howls	0.0001193744777366599	1.0
squealed	0.0001193744777366599	1.0
Seward's	0.0001193744777366599	1.0
film	0.0001193744777366599	1.0
sang	0.0001193744777366599	1.0
manuscript	0.0001193744777366599	1.0
wild	0.0001193744777366599	1.0
receipts	1.0	1.0
Main	1.0	1.0
thoughtless	0.0001193744777366599	1.0
sprawled	0.0001193744777366599	1.0
fever	0.0001193744777366599	1.0
newspaper	0.0001193744777366599	1.0
Flannagan	0.0001193744777366599	1.0
snugly	0.0001193744777366599	1.0
traffic	0.0001193744777366599	1.0
elder	0.0001193744777366599	1.0
tread	0.0001193744777366599	1.0
Jeff	0.0001193744777366599	1.0
reasons	0.0001193744777366599	1.0
captured	0.0001193744777366599	1.0
fineness	0.0001193744777366599	1.0
Newfoundland	0.0001193744777366599	1.0
bundle	0.0001193744777366599	1.0
crowding	0.0001193744777366599	1.0
older	0.0001193744777366599	1.0
trained	0.0001193744777366599	1.0
smaller	0.0001193744777366599	1.0
suspect	0.0001193744777366599	1.0
American	0.0001193744777366599	1.0
pressed	0.0001193744777366599	1.0
accusingly	0.0001193744777366599	1.0
homes	0.0001193744777366599	1.0
headquarters	0.0001193744777366599	1.0
absent	0.0001193744777366599	1.0
source	0.0001193744777366599	1.0
revealing	0.0001193744777366599	1.0
superstition	0.0001193744777366599	1.0
effectively	0.0001193744777366599	1.0
January	0.0001193744777366599	1.0
yard	0.0001193744777366599	1.0
marrow	0.0001193744777366599	1.0
injured	0.0001193744777366599	1.0
spectacle	0.0001193744777366599	1.0
kicking	0.0001193744777366599	1.0
labor	0.0001193744777366599	1.0
generations	0.0001193744777366599	1.0
reap	0.0001193744777366599	1.0
indefinable	0.0001193744777366599	1.0
apartment	0.0001193744777366599	1.0
November	0.0001193744777366599	1.0
rigidly	0.0001193744777366599	1.0
pardonable	0.0001193744777366599	1.0
comes	0.0001193744777366599	1.0
eleven	0.0001193744777366599	1.0
families	0.0001193744777366599	1.0
gown	0.0001193744777366599	1.0
pattern	0.0001193744777366599	1.0
gloom	0.0001193744777366599	1.0
glanced	0.0001193744777366599	1.0
slip	0.0001193744777366599	1.0
Rumanian	0.0001193744777366599	1.0
merging	0.0001193744777366599	1.0
cigarette	0.0001193744777366599	1.0
Once	0.0001193744777366599	1.0
junction	0.0001193744777366599	1.0
wicked	0.0001193744777366599	1.0
opinions	0.0001193744777366599	1.0
Fourth	0.0001193744777366599	1.0
eagle	0.0001193744777366599	1.0
swamping	0.0001193744777366599	1.0
describing	0.0001193744777366599	1.0
sciences	0.0001193744777366599	1.0
ushered	0.0001193744777366599	1.0
murderers	0.0001193744777366599	1.0
what's	0.0001193744777366599	1.0
Flannagans	0.0001193744777366599	1.0
One	0.0001193744777366599	1.0
South's	0.0001193744777366599	1.0
glitter	0.0001193744777366599	1.0
entertain	0.0001193744777366599	1.0
come	0.0001193744777366599	1.0
deliberate	0.0001193744777366599	1.0
barren	0.0001193744777366599	1.0
box	1.0	1.0
gentle	0.0001193744777366599	1.0
group	0.0001193744777366599	1.0
acknowledged	0.0001193744777366599	1.0
consciously	0.0001193744777366599	1.0
gouged	0.0001193744777366599	1.0
hold	0.0001193744777366599	1.0
peace-loving	0.0001193744777366599	1.0
headaches	0.0001193744777366599	1.0
ain't	0.0001193744777366599	1.0
large	0.0001193744777366599	1.0
Abbe	0.0001193744777366599	1.0
cautioned	0.0001193744777366599	1.0
effortlessly	0.0001193744777366599	1.0
sense	0.0001193744777366599	1.0
loins	0.0001193744777366599	1.0
calmed	0.0001193744777366599	1.0
magic	0.0001193744777366599	1.0
clotted	0.0001193744777366599	1.0
laundry	0.0001193744777366599	1.0
apologized	0.0001193744777366599	1.0
swarmed	0.0001193744777366599	1.0
countryside	0.0001193744777366599	1.0
tin	0.0001193744777366599	1.0
Rameau	0.0001193744777366599	1.0
contrary	0.0001193744777366599	1.0
narrowed	0.0001193744777366599	1.0
Virgin	0.0001193744777366599	1.0
tollhouse	0.0001193744777366599	1.0
stability	0.0001193744777366599	1.0
roaming	0.0001193744777366599	1.0
perched	0.0001193744777366599	1.0
slop	0.0001193744777366599	1.0
duties	0.0001193744777366599	1.0
disbelief	0.0001193744777366599	1.0
suite	0.0001193744777366599	1.0
apologetically	0.0001193744777366599	1.0
Instead	0.0001193744777366599	1.0
officers'	0.0001193744777366599	1.0
successive	0.0001193744777366599	1.0
subdued	0.0001193744777366599	1.0
Louis	0.0001193744777366599	1.0
snoring	0.0001193744777366599	1.0
performance	0.0001193744777366599	1.0
port	1.0	1.0
titled	1.0	1.0
species	0.0001193744777366599	1.0
marble	1.0	1.0
files	1.0	1.0
Cleaned	0.0001193744777366599	1.0
doctor	0.0001193744777366599	1.0
celebrities	0.0001193744777366599	1.0
contrition	0.0001193744777366599	1.0
held	0.0001193744777366599	1.0
opera	0.0001193744777366599	1.0
under	0.0001193744777366599	1.0
